Sample Name	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Assay Name	Protocol REF	Data Transformation Name
Sample Bandarban-58	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-58SNP Chip Assay	sequence analysis data transformation	Bandarban-58 (Sequence Variations)
Sample Bandarban-59	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-59SNP Chip Assay	sequence analysis data transformation	Bandarban-59 (Sequence Variations)
Sample Bandarban-60	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-60SNP Chip Assay	sequence analysis data transformation	Bandarban-60 (Sequence Variations)
Sample Bandarban-61	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-61SNP Chip Assay	sequence analysis data transformation	Bandarban-61 (Sequence Variations)
Sample Bandarban-62	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-62SNP Chip Assay	sequence analysis data transformation	Bandarban-62 (Sequence Variations)
Sample Bandarban-63	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-63SNP Chip Assay	sequence analysis data transformation	Bandarban-63 (Sequence Variations)
Sample Bandarban-64	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-64SNP Chip Assay	sequence analysis data transformation	Bandarban-64 (Sequence Variations)
Sample Bandarban-65	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-65SNP Chip Assay	sequence analysis data transformation	Bandarban-65 (Sequence Variations)
Sample Bandarban-66	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-66SNP Chip Assay	sequence analysis data transformation	Bandarban-66 (Sequence Variations)
Sample Bandarban-67	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-67SNP Chip Assay	sequence analysis data transformation	Bandarban-67 (Sequence Variations)
Sample Bandarban-68	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-68SNP Chip Assay	sequence analysis data transformation	Bandarban-68 (Sequence Variations)
Sample Bandarban-69	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-69SNP Chip Assay	sequence analysis data transformation	Bandarban-69 (Sequence Variations)
Sample Bandarban-70	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-70SNP Chip Assay	sequence analysis data transformation	Bandarban-70 (Sequence Variations)
Sample Bandarban-71	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-71SNP Chip Assay	sequence analysis data transformation	Bandarban-71 (Sequence Variations)
Sample Bandarban-72	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-72SNP Chip Assay	sequence analysis data transformation	Bandarban-72 (Sequence Variations)
Sample Bandarban-73	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-73SNP Chip Assay	sequence analysis data transformation	Bandarban-73 (Sequence Variations)
Sample Bandarban-74	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-74SNP Chip Assay	sequence analysis data transformation	Bandarban-74 (Sequence Variations)
Sample Bandarban-75	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-75SNP Chip Assay	sequence analysis data transformation	Bandarban-75 (Sequence Variations)
Sample Bandarban-76	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-76SNP Chip Assay	sequence analysis data transformation	Bandarban-76 (Sequence Variations)
Sample Bandarban-77	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-77SNP Chip Assay	sequence analysis data transformation	Bandarban-77 (Sequence Variations)
Sample Bandarban-78	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-78SNP Chip Assay	sequence analysis data transformation	Bandarban-78 (Sequence Variations)
Sample Bandarban-79	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-79SNP Chip Assay	sequence analysis data transformation	Bandarban-79 (Sequence Variations)
Sample Bandarban-80	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-80SNP Chip Assay	sequence analysis data transformation	Bandarban-80 (Sequence Variations)
Sample Bandarban-81	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-81SNP Chip Assay	sequence analysis data transformation	Bandarban-81 (Sequence Variations)
Sample Bandarban-82	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-82SNP Chip Assay	sequence analysis data transformation	Bandarban-82 (Sequence Variations)
Sample Bandarban-83	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-83SNP Chip Assay	sequence analysis data transformation	Bandarban-83 (Sequence Variations)
Sample Bandarban-84	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-84SNP Chip Assay	sequence analysis data transformation	Bandarban-84 (Sequence Variations)
Sample Bandarban-85	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-85SNP Chip Assay	sequence analysis data transformation	Bandarban-85 (Sequence Variations)
Sample Bandarban-86	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-86SNP Chip Assay	sequence analysis data transformation	Bandarban-86 (Sequence Variations)
Sample Bandarban-87	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-87SNP Chip Assay	sequence analysis data transformation	Bandarban-87 (Sequence Variations)
Sample Bandarban-88	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-88SNP Chip Assay	sequence analysis data transformation	Bandarban-88 (Sequence Variations)
Sample Bandarban-89	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-89SNP Chip Assay	sequence analysis data transformation	Bandarban-89 (Sequence Variations)
Sample Bandarban-90	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-90SNP Chip Assay	sequence analysis data transformation	Bandarban-90 (Sequence Variations)
Sample Bandarban-91	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-91SNP Chip Assay	sequence analysis data transformation	Bandarban-91 (Sequence Variations)
Sample Bandarban-92	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-92SNP Chip Assay	sequence analysis data transformation	Bandarban-92 (Sequence Variations)
Sample Bandarban-93	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-93SNP Chip Assay	sequence analysis data transformation	Bandarban-93 (Sequence Variations)
Sample Bandarban-94	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-94SNP Chip Assay	sequence analysis data transformation	Bandarban-94 (Sequence Variations)
Sample Bandarban-95	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-95SNP Chip Assay	sequence analysis data transformation	Bandarban-95 (Sequence Variations)
Sample Bandarban-96	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-96SNP Chip Assay	sequence analysis data transformation	Bandarban-96 (Sequence Variations)
Sample Bandarban-97	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-97SNP Chip Assay	sequence analysis data transformation	Bandarban-97 (Sequence Variations)
Sample Bandarban-98	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-98SNP Chip Assay	sequence analysis data transformation	Bandarban-98 (Sequence Variations)
Sample Bandarban-99	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-99SNP Chip Assay	sequence analysis data transformation	Bandarban-99 (Sequence Variations)
Sample Bandarban-100	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-100SNP Chip Assay	sequence analysis data transformation	Bandarban-100 (Sequence Variations)
Sample Bandarban-101	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Bandarban-101SNP Chip Assay	sequence analysis data transformation	Bandarban-101 (Sequence Variations)
Sample Pailin-1	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-1SNP Chip Assay	sequence analysis data transformation	Pailin-1 (Sequence Variations)
Sample Pailin-2	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-2SNP Chip Assay	sequence analysis data transformation	Pailin-2 (Sequence Variations)
Sample Pailin-3	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-3SNP Chip Assay	sequence analysis data transformation	Pailin-3 (Sequence Variations)
Sample Pailin-4	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-4SNP Chip Assay	sequence analysis data transformation	Pailin-4 (Sequence Variations)
Sample Pailin-5	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-5SNP Chip Assay	sequence analysis data transformation	Pailin-5 (Sequence Variations)
Sample Pailin-6	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-6SNP Chip Assay	sequence analysis data transformation	Pailin-6 (Sequence Variations)
Sample Pailin-7	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-7SNP Chip Assay	sequence analysis data transformation	Pailin-7 (Sequence Variations)
Sample Pailin-8	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-8SNP Chip Assay	sequence analysis data transformation	Pailin-8 (Sequence Variations)
Sample Pailin-9	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-9SNP Chip Assay	sequence analysis data transformation	Pailin-9 (Sequence Variations)
Sample Pailin-10	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-10SNP Chip Assay	sequence analysis data transformation	Pailin-10 (Sequence Variations)
Sample Pailin-11	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-11SNP Chip Assay	sequence analysis data transformation	Pailin-11 (Sequence Variations)
Sample Pailin-12	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-12SNP Chip Assay	sequence analysis data transformation	Pailin-12 (Sequence Variations)
Sample Pailin-13	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-13SNP Chip Assay	sequence analysis data transformation	Pailin-13 (Sequence Variations)
Sample Pailin-14	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-14SNP Chip Assay	sequence analysis data transformation	Pailin-14 (Sequence Variations)
Sample Pailin-15	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-15SNP Chip Assay	sequence analysis data transformation	Pailin-15 (Sequence Variations)
Sample Pailin-16	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-16SNP Chip Assay	sequence analysis data transformation	Pailin-16 (Sequence Variations)
Sample Pailin-17	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-17SNP Chip Assay	sequence analysis data transformation	Pailin-17 (Sequence Variations)
Sample Pailin-18	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-18SNP Chip Assay	sequence analysis data transformation	Pailin-18 (Sequence Variations)
Sample Pailin-19	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-19SNP Chip Assay	sequence analysis data transformation	Pailin-19 (Sequence Variations)
Sample Pailin-20	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-20SNP Chip Assay	sequence analysis data transformation	Pailin-20 (Sequence Variations)
Sample Pailin-21	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-21SNP Chip Assay	sequence analysis data transformation	Pailin-21 (Sequence Variations)
Sample Pailin-22	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-22SNP Chip Assay	sequence analysis data transformation	Pailin-22 (Sequence Variations)
Sample Pailin-23	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-23SNP Chip Assay	sequence analysis data transformation	Pailin-23 (Sequence Variations)
Sample Pailin-24	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-24SNP Chip Assay	sequence analysis data transformation	Pailin-24 (Sequence Variations)
Sample Pailin-25	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-25SNP Chip Assay	sequence analysis data transformation	Pailin-25 (Sequence Variations)
Sample Pailin-26	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-26SNP Chip Assay	sequence analysis data transformation	Pailin-26 (Sequence Variations)
Sample Pailin-27	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-27SNP Chip Assay	sequence analysis data transformation	Pailin-27 (Sequence Variations)
Sample Pailin-28	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-28SNP Chip Assay	sequence analysis data transformation	Pailin-28 (Sequence Variations)
Sample Pailin-29	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-29SNP Chip Assay	sequence analysis data transformation	Pailin-29 (Sequence Variations)
Sample Pailin-30	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-30SNP Chip Assay	sequence analysis data transformation	Pailin-30 (Sequence Variations)
Sample Pailin-31	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-31SNP Chip Assay	sequence analysis data transformation	Pailin-31 (Sequence Variations)
Sample Pailin-32	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-32SNP Chip Assay	sequence analysis data transformation	Pailin-32 (Sequence Variations)
Sample Pailin-33	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-33SNP Chip Assay	sequence analysis data transformation	Pailin-33 (Sequence Variations)
Sample Pailin-34	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-34SNP Chip Assay	sequence analysis data transformation	Pailin-34 (Sequence Variations)
Sample Pailin-35	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-35SNP Chip Assay	sequence analysis data transformation	Pailin-35 (Sequence Variations)
Sample Pailin-36	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-36SNP Chip Assay	sequence analysis data transformation	Pailin-36 (Sequence Variations)
Sample Pailin-37	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-37SNP Chip Assay	sequence analysis data transformation	Pailin-37 (Sequence Variations)
Sample Pailin-38	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-38SNP Chip Assay	sequence analysis data transformation	Pailin-38 (Sequence Variations)
Sample Pailin-39	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-39SNP Chip Assay	sequence analysis data transformation	Pailin-39 (Sequence Variations)
Sample Pailin-40	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-40SNP Chip Assay	sequence analysis data transformation	Pailin-40 (Sequence Variations)
Sample Pailin-41	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-41SNP Chip Assay	sequence analysis data transformation	Pailin-41 (Sequence Variations)
Sample Pailin-42	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-42SNP Chip Assay	sequence analysis data transformation	Pailin-42 (Sequence Variations)
Sample Pailin-43	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-43SNP Chip Assay	sequence analysis data transformation	Pailin-43 (Sequence Variations)
Sample Pailin-44	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-44SNP Chip Assay	sequence analysis data transformation	Pailin-44 (Sequence Variations)
Sample Pailin-45	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-45SNP Chip Assay	sequence analysis data transformation	Pailin-45 (Sequence Variations)
Sample Pailin-46	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-46SNP Chip Assay	sequence analysis data transformation	Pailin-46 (Sequence Variations)
Sample Pailin-47	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-47SNP Chip Assay	sequence analysis data transformation	Pailin-47 (Sequence Variations)
Sample Pailin-48	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-48SNP Chip Assay	sequence analysis data transformation	Pailin-48 (Sequence Variations)
Sample Pailin-49	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-49SNP Chip Assay	sequence analysis data transformation	Pailin-49 (Sequence Variations)
Sample Pailin-50	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-50SNP Chip Assay	sequence analysis data transformation	Pailin-50 (Sequence Variations)
Sample Pailin-51	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-51SNP Chip Assay	sequence analysis data transformation	Pailin-51 (Sequence Variations)
Sample Pailin-52	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-52SNP Chip Assay	sequence analysis data transformation	Pailin-52 (Sequence Variations)
Sample Pailin-53	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-53SNP Chip Assay	sequence analysis data transformation	Pailin-53 (Sequence Variations)
Sample Pailin-54	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-54SNP Chip Assay	sequence analysis data transformation	Pailin-54 (Sequence Variations)
Sample Pailin-55	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-55SNP Chip Assay	sequence analysis data transformation	Pailin-55 (Sequence Variations)
Sample Pailin-56	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-56SNP Chip Assay	sequence analysis data transformation	Pailin-56 (Sequence Variations)
Sample Pailin-57	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-57SNP Chip Assay	sequence analysis data transformation	Pailin-57 (Sequence Variations)
Sample Pailin-58	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Pailin-58SNP Chip Assay	sequence analysis data transformation	Pailin-58 (Sequence Variations)
Sample Tasanh-1	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Tasanh-1SNP Chip Assay	sequence analysis data transformation	Tasanh-1 (Sequence Variations)
Sample Tasanh-2	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Tasanh-2SNP Chip Assay	sequence analysis data transformation	Tasanh-2 (Sequence Variations)
Sample Tasanh-3	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Tasanh-3SNP Chip Assay	sequence analysis data transformation	Tasanh-3 (Sequence Variations)
Sample Tasanh-4	DNA extraction	labeling	nucleic acid hybridization	data collection	Sample Tasanh-4SNP Chip Assay	sequence analysis data transformation	Tasanh-4 (Sequence Variations)
