Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[GAZ_00000448]	Term Source REF	Term Accession Number	Characteristics[OBI_0100026]	Term Source REF	Term Accession Number	Characteristics[OPL_0000232]	Protocol REF	Sample Name	Description	Material Type	Term Source REF	Term Accession Number	Protocol REF	Extract Name	Material Type	Term Source REF	Term Accession Number
Subject 14	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum SenP51.02	sample collection	EUSMPL0002-1.14	Sample SenP51.02	sample from organism	OBI	OBI_0000671	extraction	Extract SenP51.02	DNA extract	OBI	OBI_0001051
Subject 15	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum SenV56.04	sample collection	EUSMPL0002-1.15	Sample SenV56.04	sample from organism	OBI	OBI_0000671	extraction	Extract SenV56.04	DNA extract	OBI	OBI_0001051
Subject 16	host organism	GO	GO_0018995				Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum P_reichenowi	sample collection	EUSMPL0002-1.16	Sample P_reichenowi	sample from organism	OBI	OBI_0000671	extraction	Extract P_reichenowi	DNA extract	OBI	OBI_0001051
Subject 17	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum SenThi10.04	sample collection	EUSMPL0002-1.17	Sample SenThi10.04	sample from organism	OBI	OBI_0000671	extraction	Extract SenThi10.04	DNA extract	OBI	OBI_0001051
Subject 18	host organism	GO	GO_0018995	Malawi	GAZ	GAZ_00001105	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum CF08.008	sample collection	EUSMPL0002-1.18	Sample CF08.008	sample from organism	OBI	OBI_0000671	extraction	Extract CF08.008	DNA extract	OBI	OBI_0001051
Subject 19	host organism	GO	GO_0018995	Sierra Leone	GAZ	GAZ_00000914	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum D6	sample collection	EUSMPL0002-1.19	Sample D6	sample from organism	OBI	OBI_0000671	extraction	Extract D6	DNA extract	OBI	OBI_0001051
Subject 20	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum SenP05.02	sample collection	EUSMPL0002-1.20	Sample SenP05.02	sample from organism	OBI	OBI_0000671	extraction	Extract SenP05.02	DNA extract	OBI	OBI_0001051
Subject 21	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum SenP06.02	sample collection	EUSMPL0002-1.21	Sample SenP06.02	sample from organism	OBI	OBI_0000671	extraction	Extract SenP06.02	DNA extract	OBI	OBI_0001051
Subject 22	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum SenP08.04	sample collection	EUSMPL0002-1.22	Sample SenP08.04	sample from organism	OBI	OBI_0000671	extraction	Extract SenP08.04	DNA extract	OBI	OBI_0001051
Subject 23	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum SenP09.04	sample collection	EUSMPL0002-1.23	Sample SenP09.04	sample from organism	OBI	OBI_0000671	extraction	Extract SenP09.04	DNA extract	OBI	OBI_0001051
Subject 24	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum SenP11.02	sample collection	EUSMPL0002-1.24	Sample SenP11.02	sample from organism	OBI	OBI_0000671	extraction	Extract SenP11.02	DNA extract	OBI	OBI_0001051
Subject 25	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum SenP18.02	sample collection	EUSMPL0002-1.25	Sample SenP18.02	sample from organism	OBI	OBI_0000671	extraction	Extract SenP18.02	DNA extract	OBI	OBI_0001051
Subject 26	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum SenP19.04	sample collection	EUSMPL0002-1.26	Sample SenP19.04	sample from organism	OBI	OBI_0000671	extraction	Extract SenP19.04	DNA extract	OBI	OBI_0001051
Subject 27	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum SenP26.04	sample collection	EUSMPL0002-1.27	Sample SenP26.04	sample from organism	OBI	OBI_0000671	extraction	Extract SenP26.04	DNA extract	OBI	OBI_0001051
Subject 28	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum SenP27.02	sample collection	EUSMPL0002-1.28	Sample SenP27.02	sample from organism	OBI	OBI_0000671	extraction	Extract SenP27.02	DNA extract	OBI	OBI_0001051
Subject 29	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum SenP60.02	sample collection	EUSMPL0002-1.29	Sample SenP60.02	sample from organism	OBI	OBI_0000671	extraction	Extract SenP60.02	DNA extract	OBI	OBI_0001051
Subject 30	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum Thi10.04	sample collection	EUSMPL0002-1.30	Sample Thi10.04	sample from organism	OBI	OBI_0000671	extraction	Extract Thi10.04	DNA extract	OBI	OBI_0001051
Subject 31	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum Thi15.04	sample collection	EUSMPL0002-1.31	Sample Thi15.04	sample from organism	OBI	OBI_0000671	extraction	Extract Thi15.04	DNA extract	OBI	OBI_0001051
Subject 32	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum Thi26.04	sample collection	EUSMPL0002-1.32	Sample Thi26.04	sample from organism	OBI	OBI_0000671	extraction	Extract Thi26.04	DNA extract	OBI	OBI_0001051
Subject 33	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum Thi28.04	sample collection	EUSMPL0002-1.33	Sample Thi28.04	sample from organism	OBI	OBI_0000671	extraction	Extract Thi28.04	DNA extract	OBI	OBI_0001051
Subject 34	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum TD194	sample collection	EUSMPL0002-1.34	Sample TD194	sample from organism	OBI	OBI_0000671	extraction	Extract TD194	DNA extract	OBI	OBI_0001051
Subject 35	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum TD203	sample collection	EUSMPL0002-1.35	Sample TD203	sample from organism	OBI	OBI_0000671	extraction	Extract TD203	DNA extract	OBI	OBI_0001051
Subject 36	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum TD257	sample collection	EUSMPL0002-1.36	Sample TD257	sample from organism	OBI	OBI_0000671	extraction	Extract TD257	DNA extract	OBI	OBI_0001051
Subject 37	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum TM327	sample collection	EUSMPL0002-1.37	Sample TM327	sample from organism	OBI	OBI_0000671	extraction	Extract TM327	DNA extract	OBI	OBI_0001051
Subject 38	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum TM335	sample collection	EUSMPL0002-1.38	Sample TM335	sample from organism	OBI	OBI_0000671	extraction	Extract TM335	DNA extract	OBI	OBI_0001051
Subject 39	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum TM336	sample collection	EUSMPL0002-1.39	Sample TM336	sample from organism	OBI	OBI_0000671	extraction	Extract TM336	DNA extract	OBI	OBI_0001051
Subject 40	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum TM343	sample collection	EUSMPL0002-1.40	Sample TM343	sample from organism	OBI	OBI_0000671	extraction	Extract TM343	DNA extract	OBI	OBI_0001051
Subject 41	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum TM345	sample collection	EUSMPL0002-1.41	Sample TM345	sample from organism	OBI	OBI_0000671	extraction	Extract TM345	DNA extract	OBI	OBI_0001051
Subject 42	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum TM346	sample collection	EUSMPL0002-1.42	Sample TM346	sample from organism	OBI	OBI_0000671	extraction	Extract TM346	DNA extract	OBI	OBI_0001051
Subject 43	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum TM347	sample collection	EUSMPL0002-1.43	Sample TM347	sample from organism	OBI	OBI_0000671	extraction	Extract TM347	DNA extract	OBI	OBI_0001051
Subject 44	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum TM-4C8-2	sample collection	EUSMPL0002-1.44	Sample TM-4C8-2	sample from organism	OBI	OBI_0000671	extraction	Extract TM-4C8-2	DNA extract	OBI	OBI_0001051
Subject 45	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum TM93C1088	sample collection	EUSMPL0002-1.45	Sample TM93C1088	sample from organism	OBI	OBI_0000671	extraction	Extract TM93C1088	DNA extract	OBI	OBI_0001051
Subject 46	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum T116	sample collection	EUSMPL0002-1.46	Sample T116	sample from organism	OBI	OBI_0000671	extraction	Extract T116	DNA extract	OBI	OBI_0001051
Subject 47	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum GA3	sample collection	EUSMPL0002-1.47	Sample GA3	sample from organism	OBI	OBI_0000671	extraction	Extract GA3	DNA extract	OBI	OBI_0001051
Subject 48	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum GH2	sample collection	EUSMPL0002-1.48	Sample GH2	sample from organism	OBI	OBI_0000671	extraction	Extract GH2	DNA extract	OBI	OBI_0001051
Subject 49	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum PR145	sample collection	EUSMPL0002-1.49	Sample PR145	sample from organism	OBI	OBI_0000671	extraction	Extract PR145	DNA extract	OBI	OBI_0001051
Subject 50	host organism	GO	GO_0018995	Senegal	GAZ	GAZ_00000913	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum V5.42.05	sample collection	EUSMPL0002-1.50	Sample V5.42.05	sample from organism	OBI	OBI_0000671	extraction	Extract V5.42.05	DNA extract	OBI	OBI_0001051
Subject 51	host organism	GO	GO_0018995	Ghana	GAZ	GAZ_00000908	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum RO-33	sample collection	EUSMPL0002-1.51	Sample RO-33	sample from organism	OBI	OBI_0000671	extraction	Extract RO-33	DNA extract	OBI	OBI_0001051
Subject 52	host organism	GO	GO_0018995	China	GAZ	GAZ_00002845	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum FCC-2	sample collection	EUSMPL0002-1.52	Sample FCC-2	sample from organism	OBI	OBI_0000671	extraction	Extract FCC-2	DNA extract	OBI	OBI_0001051
Subject 53	host organism	GO	GO_0018995	Honduras	GAZ	GAZ_00002894	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum HB3_1_batch2	sample collection	EUSMPL0002-1.53	Sample HB3_1_batch2	sample from organism	OBI	OBI_0000671	extraction	Extract HB3_1_batch2	DNA extract	OBI	OBI_0001051
Subject 54	host organism	GO	GO_0018995	Honduras	GAZ	GAZ_00002894	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum HB3_2_batch2	sample collection	EUSMPL0002-1.54	Sample HB3_2_batch2	sample from organism	OBI	OBI_0000671	extraction	Extract HB3_2_batch2	DNA extract	OBI	OBI_0001051
Subject 55	host organism	GO	GO_0018995	Malawi	GAZ	GAZ_00001105	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum CF04.008_10B	sample collection	EUSMPL0002-1.55	Sample CF04.008_10B	sample from organism	OBI	OBI_0000671	extraction	Extract CF04.008_10B	DNA extract	OBI	OBI_0001051
Subject 56	host organism	GO	GO_0018995	Malawi	GAZ	GAZ_00001105	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum CF04.008_1F	sample collection	EUSMPL0002-1.56	Sample CF04.008_1F	sample from organism	OBI	OBI_0000671	extraction	Extract CF04.008_1F	DNA extract	OBI	OBI_0001051
Subject 57	host organism	GO	GO_0018995	Malawi	GAZ	GAZ_00001105	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum CF04.008_2G	sample collection	EUSMPL0002-1.57	Sample CF04.008_2G	sample from organism	OBI	OBI_0000671	extraction	Extract CF04.008_2G	DNA extract	OBI	OBI_0001051
Subject 58	host organism	GO	GO_0018995	Malawi	GAZ	GAZ_00001105	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum CF04.008_12G	sample collection	EUSMPL0002-1.58	Sample CF04.008_12G	sample from organism	OBI	OBI_0000671	extraction	Extract CF04.008_12G	DNA extract	OBI	OBI_0001051
Subject 59	host organism	GO	GO_0018995	Malawi	GAZ	GAZ_00001105	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum CF04.008_7H	sample collection	EUSMPL0002-1.59	Sample CF04.008_7H	sample from organism	OBI	OBI_0000671	extraction	Extract CF04.008_7H	DNA extract	OBI	OBI_0001051
Subject 60	host organism	GO	GO_0018995	Malawi	GAZ	GAZ_00001105	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum CF04.009_6D	sample collection	EUSMPL0002-1.60	Sample CF04.009_6D	sample from organism	OBI	OBI_0000671	extraction	Extract CF04.009_6D	DNA extract	OBI	OBI_0001051
Subject 61	host organism	GO	GO_0018995	Malawi	GAZ	GAZ_00001105	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum CF04.010_10B	sample collection	EUSMPL0002-1.61	Sample CF04.010_10B	sample from organism	OBI	OBI_0000671	extraction	Extract CF04.010_10B	DNA extract	OBI	OBI_0001051
Subject 62	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum T9-94	sample collection	EUSMPL0002-1.62	Sample T9-94	sample from organism	OBI	OBI_0000671	extraction	Extract T9-94	DNA extract	OBI	OBI_0001051
Subject 63	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum TM90C2A	sample collection	EUSMPL0002-1.63	Sample TM90C2A	sample from organism	OBI	OBI_0000671	extraction	Extract TM90C2A	DNA extract	OBI	OBI_0001051
Subject 64	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum TM90C6A	sample collection	EUSMPL0002-1.64	Sample TM90C6A	sample from organism	OBI	OBI_0000671	extraction	Extract TM90C6A	DNA extract	OBI	OBI_0001051
Subject 65	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum TM90C6B	sample collection	EUSMPL0002-1.65	Sample TM90C6B	sample from organism	OBI	OBI_0000671	extraction	Extract TM90C6B	DNA extract	OBI	OBI_0001051
Subject 66	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum TM91C235	sample collection	EUSMPL0002-1.66	Sample TM91C235	sample from organism	OBI	OBI_0000671	extraction	Extract TM91C235	DNA extract	OBI	OBI_0001051
Subject 67	host organism	GO	GO_0018995	Brazil	GAZ	GAZ_00002828	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum 36-89	sample collection	EUSMPL0002-1.67	Sample 36-89	sample from organism	OBI	OBI_0000671	extraction	Extract 36-89	DNA extract	OBI	OBI_0001051
Subject 68	host organism	GO	GO_0018995	Kenya	GAZ	GAZ_00001101	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum KMWII	sample collection	EUSMPL0002-1.68	Sample KMWII	sample from organism	OBI	OBI_0000671	extraction	Extract KMWII	DNA extract	OBI	OBI_0001051
Subject 69	host organism	GO	GO_0018995	Brazil	GAZ	GAZ_00002828	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum 330-89	sample collection	EUSMPL0002-1.69	Sample 330-89	sample from organism	OBI	OBI_0000671	extraction	Extract 330-89	DNA extract	OBI	OBI_0001051
Subject 70	host organism	GO	GO_0018995	Brazil	GAZ	GAZ_00002828	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum 207-89	sample collection	EUSMPL0002-1.70	Sample 207-89	sample from organism	OBI	OBI_0000671	extraction	Extract 207-89	DNA extract	OBI	OBI_0001051
Subject 71	host organism	GO	GO_0018995	Mali	GAZ	GAZ_00000584	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum MT_S1	sample collection	EUSMPL0002-1.71	Sample MT_S1	sample from organism	OBI	OBI_0000671	extraction	Extract MT_S1	DNA extract	OBI	OBI_0001051
Subject 72	host organism	GO	GO_0018995	Brazil	GAZ	GAZ_00002828	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum 1054	sample collection	EUSMPL0002-1.72	Sample 1054	sample from organism	OBI	OBI_0000671	extraction	Extract 1054	DNA extract	OBI	OBI_0001051
Subject 73	host organism	GO	GO_0018995	Brazil	GAZ	GAZ_00002828	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum 51	sample collection	EUSMPL0002-1.73	Sample 51	sample from organism	OBI	OBI_0000671	extraction	Extract 51	DNA extract	OBI	OBI_0001051
Subject 74	host organism	GO	GO_0018995	Brazil	GAZ	GAZ_00002828	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum 9-411	sample collection	EUSMPL0002-1.74	Sample 9-411	sample from organism	OBI	OBI_0000671	extraction	Extract 9-411	DNA extract	OBI	OBI_0001051
Subject 75	host organism	GO	GO_0018995	Brazil	GAZ	GAZ_00002828	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum 365_89	sample collection	EUSMPL0002-1.75	Sample 365_89	sample from organism	OBI	OBI_0000671	extraction	Extract 365_89	DNA extract	OBI	OBI_0001051
Subject 76	host organism	GO	GO_0018995	Brazil	GAZ	GAZ_00002828	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum 608	sample collection	EUSMPL0002-1.76	Sample 608	sample from organism	OBI	OBI_0000671	extraction	Extract 608	DNA extract	OBI	OBI_0001051
Subject 77	host organism	GO	GO_0018995	Brazil	GAZ	GAZ_00002828	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum 60888	sample collection	EUSMPL0002-1.77	Sample 60888	sample from organism	OBI	OBI_0000671	extraction	Extract 60888	DNA extract	OBI	OBI_0001051
Subject 78	host organism	GO	GO_0018995	Thailand	GAZ	GAZ_00003744	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum T2_C6	sample collection	EUSMPL0002-1.78	Sample T2_C6	sample from organism	OBI	OBI_0000671	extraction	Extract T2_C6	DNA extract	OBI	OBI_0001051
Subject 79	host organism	GO	GO_0018995	Brazil	GAZ	GAZ_00002828	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum JST	sample collection	EUSMPL0002-1.79	Sample JST	sample from organism	OBI	OBI_0000671	extraction	Extract JST	DNA extract	OBI	OBI_0001051
Subject 80	host organism	GO	GO_0018995	Brazil	GAZ	GAZ_00002828	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum ADA2	sample collection	EUSMPL0002-1.80	Sample ADA2	sample from organism	OBI	OBI_0000671	extraction	Extract ADA2	DNA extract	OBI	OBI_0001051
Subject 81	host organism	GO	GO_0018995	India	GAZ	GAZ_00002839	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum RAJ116	sample collection	EUSMPL0002-1.81	Sample RAJ116	sample from organism	OBI	OBI_0000671	extraction	Extract RAJ116	DNA extract	OBI	OBI_0001051
Subject 82	host organism	GO	GO_0018995	India	GAZ	GAZ_00002839	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum 87-239	sample collection	EUSMPL0002-1.82	Sample 87-239	sample from organism	OBI	OBI_0000671	extraction	Extract 87-239	DNA extract	OBI	OBI_0001051
Subject 83	host organism	GO	GO_0018995	Laos, Indochina	GAZ	GAZ_00006889	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum JDP8	sample collection	EUSMPL0002-1.83	Sample JDP8	sample from organism	OBI	OBI_0000671	extraction	Extract JDP8	DNA extract	OBI	OBI_0001051
Subject 84	host organism	GO	GO_0018995	India	GAZ	GAZ_00002839	Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum IGHCR14	sample collection	EUSMPL0002-1.84	Sample IGHCR14	sample from organism	OBI	OBI_0000671	extraction	Extract IGHCR14	DNA extract	OBI	OBI_0001051
3D7 Reference	host organism	GO	GO_0018995				Homo sapiens	NCBITAXON	NCBITaxon_9606	Plasmodium falciparum 3D7	sample collection	EUSMPL0002-1.85	Sample 3D7	sample from organism	OBI	OBI_0000671	extraction	Extract 3D7	DNA extract	OBI	OBI_0001051
