Source Name	Material Type	Term Source REF	Term Accession Number	Characteristics[GAZ_00000448]	Term Source REF	Term Accession Number	Characteristics[OBI_0100026]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Description	Material Type	Term Source REF	Term Accession Number	Characteristics[PATO_0001034]	Characteristics[OPL_0000232]	Protocol REF	Extract Name	Material Type	Term Source REF	Term Accession Number
Subject 13	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.13	ERS010049:  Illumina sequencing for isolate RV_3600; library PA0027-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3600	Plasmodium falciparum	extraction	ERS010049	DNA extract	OBI	OBI_0001051
Subject 14	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.14	ERS010038:  Illumina sequencing for isolate RV_3610; library PA0029-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3610	Plasmodium falciparum	extraction	ERS010038	DNA extract	OBI	OBI_0001051
Subject 15	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.15	ERS009726:  Illumina sequencing for isolate RV_3611; library PA0030-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3611	Plasmodium falciparum	extraction	ERS009726	DNA extract	OBI	OBI_0001051
Subject 16	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.16	ERS010130:  Illumina sequencing for isolate RV_3630; library PA0032-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3630	Plasmodium falciparum	extraction	ERS010130	DNA extract	OBI	OBI_0001051
Subject 17	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.17	ERS010117:  Illumina sequencing for isolate RV_3635; library PA0034-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3635	Plasmodium falciparum	extraction	ERS010117	DNA extract	OBI	OBI_0001051
Subject 18	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.18	ERS010039:  Illumina sequencing for isolate RV_3637; library PA0035-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3637	Plasmodium falciparum	extraction	ERS010039	DNA extract	OBI	OBI_0001051
Subject 19	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.19	ERS010040:  Illumina sequencing for isolate RV_3655; library PA0036-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3655	Plasmodium falciparum	extraction	ERS010040	DNA extract	OBI	OBI_0001051
Subject 20	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.20	ERS010041:  Illumina sequencing for isolate RV_3671; library PA0037-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3671	Plasmodium falciparum	extraction	ERS010041	DNA extract	OBI	OBI_0001051
Subject 21	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.21	ERS009729:  Illumina sequencing for isolate RV_3672; library PA0038-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3672	Plasmodium falciparum	extraction	ERS009729	DNA extract	OBI	OBI_0001051
Subject 22	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.22	ERS009966:  Illumina sequencing for isolate RV_3673; library PA0039-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3673	Plasmodium falciparum	extraction	ERS009966	DNA extract	OBI	OBI_0001051
Subject 23	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.23	ERS010118:  Illumina sequencing for isolate RV_3675; library PA0040-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3675	Plasmodium falciparum	extraction	ERS010118	DNA extract	OBI	OBI_0001051
Subject 24	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.24	ERS010119:  Illumina sequencing for isolate RV_3695; library PA0041-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3695	Plasmodium falciparum	extraction	ERS010119	DNA extract	OBI	OBI_0001051
Subject 25	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.25	ERS010120:  Illumina sequencing for isolate RV_3696; library PA0042-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3696	Plasmodium falciparum	extraction	ERS010120	DNA extract	OBI	OBI_0001051
Subject 26	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.26	ERS009731:  Illumina sequencing for isolate RV_3702; library PA0044-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3702	Plasmodium falciparum	extraction	ERS009731	DNA extract	OBI	OBI_0001051
Subject 27	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.27	ERS009732:  Illumina sequencing for isolate RV_3708; library PA0045-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3708	Plasmodium falciparum	extraction	ERS009732	DNA extract	OBI	OBI_0001051
Subject 28	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.28	ERS009733:  Illumina sequencing for isolate RV_3717; library PA0046-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3717	Plasmodium falciparum	extraction	ERS009733	DNA extract	OBI	OBI_0001051
Subject 29	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.29	ERS010113:  Illumina sequencing for isolate RV_3721; library PA0047-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3721	Plasmodium falciparum	extraction	ERS010113	DNA extract	OBI	OBI_0001051
Subject 30	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.30	ERS010071:  Illumina sequencing for isolate RV_3729; library PA0049-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3729	Plasmodium falciparum	extraction	ERS010071	DNA extract	OBI	OBI_0001051
Subject 31	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.31	ERS009669:  Illumina sequencing for isolate RV_3730; library PA0050-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3730	Plasmodium falciparum	extraction	ERS009669	DNA extract	OBI	OBI_0001051
Subject 32	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.32	ERS011004:  Illumina sequencing for isolate RV_3731; library PA0051-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3731	Plasmodium falciparum	extraction	ERS011004	DNA extract	OBI	OBI_0001051
Subject 33	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.33	ERS010070:  Illumina sequencing for isolate RV_3736; library PA0052-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3736	Plasmodium falciparum	extraction	ERS010070	DNA extract	OBI	OBI_0001051
Subject 34	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.34	ERS009967:  Illumina sequencing for isolate RV_3739; library PA0053-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3739	Plasmodium falciparum	extraction	ERS009967	DNA extract	OBI	OBI_0001051
Subject 35	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.35	ERS011013:  Illumina sequencing for isolate RV_3741; library PA0054-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3741	Plasmodium falciparum	extraction	ERS011013	DNA extract	OBI	OBI_0001051
Subject 36	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.36	ERS011002:  Illumina sequencing for isolate RV_3764; library PA0056-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3764	Plasmodium falciparum	extraction	ERS011002	DNA extract	OBI	OBI_0001051
Subject 37	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.37	ERS011016:  Illumina sequencing for isolate RV_3769; library PA0057-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	RV_3769	Plasmodium falciparum	extraction	ERS011016	DNA extract	OBI	OBI_0001051
Subject 38	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.38	ERS011009:  Illumina sequencing for isolate BM_0009; library PA0059-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	BM_0009	Plasmodium falciparum	extraction	ERS011009	DNA extract	OBI	OBI_0001051
Subject 39	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.39	ERS009670:  Illumina sequencing for isolate BM_0008; library PA0061-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	BM_0008	Plasmodium falciparum	extraction	ERS009670	DNA extract	OBI	OBI_0001051
Subject 40	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.40	ERS011012:  Illumina sequencing for isolate TRIPS_364; library PA0064-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_364	Plasmodium falciparum	extraction	ERS011012	DNA extract	OBI	OBI_0001051
Subject 41	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.41	ERS010079:  Illumina sequencing for isolate TRIPS_410; library PA0065-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_410	Plasmodium falciparum	extraction	ERS010079	DNA extract	OBI	OBI_0001051
Subject 42	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.42	ERS011019:  Illumina sequencing for isolate TRIPS_437; library PA0067-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_437	Plasmodium falciparum	extraction	ERS011019	DNA extract	OBI	OBI_0001051
Subject 43	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.43	ERS009970:  Illumina sequencing for isolate TRIPS_467; library PA0068-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_467	Plasmodium falciparum	extraction	ERS009970	DNA extract	OBI	OBI_0001051
Subject 44	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.44	ERS009971:  Illumina sequencing for isolate TRIPS_470; library PA0069-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_470	Plasmodium falciparum	extraction	ERS009971	DNA extract	OBI	OBI_0001051
Subject 45	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.45	ERS010078:  Illumina sequencing for isolate TRIPS_474; library PA0071-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_474	Plasmodium falciparum	extraction	ERS010078	DNA extract	OBI	OBI_0001051
Subject 46	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.46	ERS010076:  Illumina sequencing for isolate TRIPS_480; library PA0073-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_480	Plasmodium falciparum	extraction	ERS010076	DNA extract	OBI	OBI_0001051
Subject 47	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.47	ERS010069:  Illumina sequencing for isolate TRIPS_487; library PA0074-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_487	Plasmodium falciparum	extraction	ERS010069	DNA extract	OBI	OBI_0001051
Subject 48	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.48	ERS010074:  Illumina sequencing for isolate TRIPS_490; library PA0075-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_490	Plasmodium falciparum	extraction	ERS010074	DNA extract	OBI	OBI_0001051
Subject 49	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.49	ERS011014:  Illumina sequencing for isolate TRIPS_499; library PA0078-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_499	Plasmodium falciparum	extraction	ERS011014	DNA extract	OBI	OBI_0001051
Subject 50	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.50	ERS011008:  Illumina sequencing for isolate TRIPS_501; library PA0079-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_501	Plasmodium falciparum	extraction	ERS011008	DNA extract	OBI	OBI_0001051
Subject 51	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.51	ERS009676:  Illumina sequencing for isolate TRIPS_504; library PA0081-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_504	Plasmodium falciparum	extraction	ERS009676	DNA extract	OBI	OBI_0001051
Subject 52	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.52	ERS009972:  Illumina sequencing for isolate TRIPS_301; library PA0084-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_301	Plasmodium falciparum	extraction	ERS009972	DNA extract	OBI	OBI_0001051
Subject 53	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.53	ERS009672:  Illumina sequencing for isolate TRIPS_303; library PA0085-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_303	Plasmodium falciparum	extraction	ERS009672	DNA extract	OBI	OBI_0001051
Subject 54	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.54	ERS011011:  Illumina sequencing for isolate TRIPS_331; library PA0087-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_331	Plasmodium falciparum	extraction	ERS011011	DNA extract	OBI	OBI_0001051
Subject 55	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.55	ERS011010:  Illumina sequencing for isolate TRIPS_355; library PA0089-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_355	Plasmodium falciparum	extraction	ERS011010	DNA extract	OBI	OBI_0001051
Subject 56	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.56	ERS009973:  Illumina sequencing for isolate TRIPS_433; library PA0091-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_433	Plasmodium falciparum	extraction	ERS009973	DNA extract	OBI	OBI_0001051
Subject 57	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.57	ERS010068:  Illumina sequencing for isolate TRIPS_440; library PA0092-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_440	Plasmodium falciparum	extraction	ERS010068	DNA extract	OBI	OBI_0001051
Subject 58	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.58	ERS010077:  Illumina sequencing for isolate TRIPS_456; library PA0093-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_456	Plasmodium falciparum	extraction	ERS010077	DNA extract	OBI	OBI_0001051
Subject 59	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.59	ERS011005:  Illumina sequencing for isolate TRIPS_461; library PA0094-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_461	Plasmodium falciparum	extraction	ERS011005	DNA extract	OBI	OBI_0001051
Subject 60	host	GO	GO_0018995	Gambia	GAZ	http://purl.obolibrary.org/obo/GAZ_00000907	human	NCBITaxon	NCBITaxon_9606	sample collection	EUSTDY0010-1.60	ERS011018:  Illumina sequencing for isolate TRIPS_700; library PA0098-C for the Plasmodium falciparum natural genome variation study.Sumitted to SRA on 2010-04-19	sample from organism	OBI	OBI_0000671	TRIPS_700	Plasmodium falciparum	extraction	ERS011018	DNA extract	OBI	OBI_0001051
