Extract Name	Protocol REF	Assay Name	Protocol REF	Raw Data Fo;e	Protocol REF	Data Transformation Name
ERS011004	DNA Sequencing	ERS011004 DNASeq Assay	data collection	ERS011004 (Raw data)	sequence analysis data transformation	RV_3731 (Sequence Variation)
ERS010070	DNA Sequencing	ERS010070 DNASeq Assay	data collection	ERS010070 (Raw data)	sequence analysis data transformation	RV_3736 (Sequence Variation)
ERS009967	DNA Sequencing	ERS009967 DNASeq Assay	data collection	ERS009967 (Raw data)	sequence analysis data transformation	RV_3739 (Sequence Variation)
ERS011013	DNA Sequencing	ERS011013 DNASeq Assay	data collection	ERS011013 (Raw data)	sequence analysis data transformation	RV_3741 (Sequence Variation)
ERS011002	DNA Sequencing	ERS011002 DNASeq Assay	data collection	ERS011002 (Raw data)	sequence analysis data transformation	RV_3764 (Sequence Variation)
ERS011016	DNA Sequencing	ERS011016 DNASeq Assay	data collection	ERS011016 (Raw data)	sequence analysis data transformation	RV_3769 (Sequence Variation)
ERS011009	DNA Sequencing	ERS011009 DNASeq Assay	data collection	ERS011009 (Raw data)	sequence analysis data transformation	BM_0009 (Sequence Variation)
ERS009670	DNA Sequencing	ERS009670 DNASeq Assay	data collection	ERS009670 (Raw data)	sequence analysis data transformation	BM_0008 (Sequence Variation)
ERS011012	DNA Sequencing	ERS011012 DNASeq Assay	data collection	ERS011012 (Raw data)	sequence analysis data transformation	TRIPS_364 (Sequence Variation)
ERS010079	DNA Sequencing	ERS010079 DNASeq Assay	data collection	ERS010079 (Raw data)	sequence analysis data transformation	TRIPS_410 (Sequence Variation)
ERS011019	DNA Sequencing	ERS011019 DNASeq Assay	data collection	ERS011019 (Raw data)	sequence analysis data transformation	TRIPS_437 (Sequence Variation)
ERS009970	DNA Sequencing	ERS009970 DNASeq Assay	data collection	ERS009970 (Raw data)	sequence analysis data transformation	TRIPS_467 (Sequence Variation)
ERS009971	DNA Sequencing	ERS009971 DNASeq Assay	data collection	ERS009971 (Raw data)	sequence analysis data transformation	TRIPS_470 (Sequence Variation)
ERS010078	DNA Sequencing	ERS010078 DNASeq Assay	data collection	ERS010078 (Raw data)	sequence analysis data transformation	TRIPS_474 (Sequence Variation)
ERS010076	DNA Sequencing	ERS010076 DNASeq Assay	data collection	ERS010076 (Raw data)	sequence analysis data transformation	TRIPS_480 (Sequence Variation)
ERS010069	DNA Sequencing	ERS010069 DNASeq Assay	data collection	ERS010069 (Raw data)	sequence analysis data transformation	TRIPS_487 (Sequence Variation)
ERS010074	DNA Sequencing	ERS010074 DNASeq Assay	data collection	ERS010074 (Raw data)	sequence analysis data transformation	TRIPS_490 (Sequence Variation)
ERS011014	DNA Sequencing	ERS011014 DNASeq Assay	data collection	ERS011014 (Raw data)	sequence analysis data transformation	TRIPS_499 (Sequence Variation)
ERS011008	DNA Sequencing	ERS011008 DNASeq Assay	data collection	ERS011008 (Raw data)	sequence analysis data transformation	TRIPS_501 (Sequence Variation)
ERS009676	DNA Sequencing	ERS009676 DNASeq Assay	data collection	ERS009676 (Raw data)	sequence analysis data transformation	TRIPS_504 (Sequence Variation)
ERS009972	DNA Sequencing	ERS009972 DNASeq Assay	data collection	ERS009972 (Raw data)	sequence analysis data transformation	TRIPS_301 (Sequence Variation)
ERS009672	DNA Sequencing	ERS009672 DNASeq Assay	data collection	ERS009672 (Raw data)	sequence analysis data transformation	TRIPS_303 (Sequence Variation)
ERS011011	DNA Sequencing	ERS011011 DNASeq Assay	data collection	ERS011011 (Raw data)	sequence analysis data transformation	TRIPS_331 (Sequence Variation)
ERS011010	DNA Sequencing	ERS011010 DNASeq Assay	data collection	ERS011010 (Raw data)	sequence analysis data transformation	TRIPS_355 (Sequence Variation)
ERS009973	DNA Sequencing	ERS009973 DNASeq Assay	data collection	ERS009973 (Raw data)	sequence analysis data transformation	TRIPS_433 (Sequence Variation)
ERS010068	DNA Sequencing	ERS010068 DNASeq Assay	data collection	ERS010068 (Raw data)	sequence analysis data transformation	TRIPS_440 (Sequence Variation)
ERS010077	DNA Sequencing	ERS010077 DNASeq Assay	data collection	ERS010077 (Raw data)	sequence analysis data transformation	TRIPS_456 (Sequence Variation)
ERS011005	DNA Sequencing	ERS011005 DNASeq Assay	data collection	ERS011005 (Raw data)	sequence analysis data transformation	TRIPS_461 (Sequence Variation)
ERS011018	DNA Sequencing	ERS011018 DNASeq Assay	data collection	ERS011018 (Raw data)	sequence analysis data transformation	TRIPS_700 (Sequence Variation)
ERS010080	DNA Sequencing	ERS010080 DNASeq Assay	data collection	ERS010080 (Raw data)	sequence analysis data transformation	TRIPS_704 (Sequence Variation)
ERS011020	DNA Sequencing	ERS011020 DNASeq Assay	data collection	ERS011020 (Raw data)	sequence analysis data transformation	TRIPS_708 (Sequence Variation)
ERS009975	DNA Sequencing	ERS009975 DNASeq Assay	data collection	ERS009975 (Raw data)	sequence analysis data transformation	TRIPS_759 (Sequence Variation)
ERS009673	DNA Sequencing	ERS009673 DNASeq Assay	data collection	ERS009673 (Raw data)	sequence analysis data transformation	TRIPS_373 (Sequence Variation)
ERS011015	DNA Sequencing	ERS011015 DNASeq Assay	data collection	ERS011015 (Raw data)	sequence analysis data transformation	TRIPS_482 (Sequence Variation)
