Source Name	Comment[description]	Comment[source_id]	Characteristics[strain]	Characteristics[organism]	Characteristics[country]	Characteristics[geographic location]	Characteristics[host organism]	Characteristics[environmental feature]	Characteristics[haplogroup]	Characteristics[year]	Parameter Value[collection date]	Characteristics[ATCC #]	Raw Data File	Raw Data File
VAND	Toxoplasma gondii VAND whole genome,Human(adult) Illumina reads submitted to SRA	SRX038726	VAND	Toxoplasma gondii	French Guyana	French Guyana	Human	unknown	10	1996	1996	unknown	VAND	VAND.paired
VEG	Toxoplasma gondii VEG whole genome, Illumina reads submitted to SRA	SRX156300	VEG	Toxoplasma gondii	USA	USA, MD	Goat	unknown	3	1988	1988	50861	VEG	VEG.paired
B41	Toxoplasma gondii B41 whole genome, Illumina reads submitted to SRA	SRX099774	B41	Toxoplasma gondii	USA	USA	Bear	unknown	12	1994	1994	50874	B41	B41.paired
B73	Toxoplasma gondii B73 whole genome, Illumina reads submitted to SRA	SRX159844	B73	Toxoplasma gondii	unknown	unknown	Bear	unknown	2	1994	1994	unknown	B73	B73.paired
BOF	Toxoplasma gondii BOF whole genome, Illumina reads submitted to SRA	SRX099778	BOF	Toxoplasma gondii	unknown	unknown	Human	unknown	6a	1993	1993	50867	BOF	BOF.paired
BRC_TgH_18001_GUY-DOS	Toxoplasma gondii BRC TgH 18001 GUY-DOS whole genome,Human(adult) Illumina reads submitted to SRA	SRX099782	BRC TgH 18001 GUY-DOS	Toxoplasma gondii	unknown	unknown	Human	unknown	10	1997	1997	unknown	BRC_TgH_18001_GUY-DOS	BRC_TgH_18001_GUY-DOS.paired
BRC_TgH_18002_GUY-KOE	Toxoplasma gondii BRC TgH 18002 GUY-KOE whole genome,Human(adult), Illumina reads submitted to SRA	SRX099796	BRC TgH 18002 GUY-KOE	Toxoplasma gondii	unknown	unknown	Human	unknown	5	2002	2002	unknown	BRC_TgH_18002_GUY-KOE	BRC_TgH_18002_GUY-KOE.paired
BRC_TgH_18003_GUY-MAT	Toxoplasma gondii BRC TgH 18003 GUY-MAT whole genome,Human(adult), Illumina reads submitted to SRA	SRX099783	BRC TgH 18003 GUY-MAT	Toxoplasma gondii	unknown	unknown	Human	unknown	5	2002	2002	unknown	BRC_TgH_18003_GUY-MAT	BRC_TgH_18003_GUY-MAT.paired
BRC_TgH_18009	Toxoplasma gondii BRC TgH 18009 whole genome,Human(adult), Illumina reads submitted to SRA	SRX171132	BRC TgH 18009	Toxoplasma gondii	French Guyana	French Guyana	Human	unknown	10	2004	2004	unknown	BRC_TgH_18009	BRC_TgH_18009.paired
BRC_TgH_18021	Toxoplasma gondii BRC TgH 18021 whole genome, Illumina reads submitted to SRA	SRX160041	BRC TgH 18021	Toxoplasma gondii	French Guyana	French Guyana	Human	unknown	10	2006	2006	unknown	BRC_TgH_18021	BRC_TgH_18021.paired
BRC_TgH_20005	Toxoplasma gondii BRC TgH 20005 whole genome,Human(congenital), Illumina reads submitted to SRA	SRX157499	BRC TgH 20005	Toxoplasma gondii	unknown	Europe	Human	unknown	4	2002	2002	unknown	BRC_TgH_20005	BRC_TgH_20005.paired
BRC_TgH_21016	Toxoplasma gondii BRC TgH 21016 whole genome,Human(congenital), Illumina reads submitted to SRA	SRX099775	BRC TgH 21016	Toxoplasma gondii	unknown	Europe	Human	unknown	4	2007	2007	unknown	BRC_TgH_21016	BRC_TgH_21016.paired
CASTELLS	Toxoplasma gondii CASTELLS whole genome, Illumina reads submitted to SRA	SRX099789	CASTELLS	Toxoplasma gondii	Uruguay	Uruguay	Sheep	unknown	4	1993	1993	unknown	CASTELLS	CASTELLS.paired
G662M	Toxoplasma gondii G662M whole genome, Illumina reads submitted to SRA	SRX160052	G662M	Toxoplasma gondii	unknown	unknown	unknown	unknown	3	1992	1992	unknown	G662M	G662M.paired
GAB1-2007-GAL-DOM10	Toxoplasma gondii GAB1-2007-GAL-DOM10 whole genome, Illumina reads submitted to SRA	SRX159841	GAB1-2007-GAL-DOM10	Toxoplasma gondii	Gabon	Gabon, Dienga	Chicken	unknown	14	2007	2007	unknown	GAB1-2007-GAL-DOM10	GAB1-2007-GAL-DOM10.paired
GAB3-2007-GAL-DOM2	Toxoplasma gondii GAB3-2007-GAL-DOM2 whole genome, Illumina reads submitted to SRA	SRX160123	GAB3-2007-GAL-DOM2	Toxoplasma gondii	unknown	unknown	unknown	unknown	6a	2007	2007	unknown	GAB3-2007-GAL-DOM2	GAB3-2007-GAL-DOM2.paired
GAB3-2007-GAL-DOM9	Toxoplasma gondii GAB3-2007-GAL-DOM9 whole genome, Illumina reads submitted to SRA	SRX160125	GAB3-2007-GAL-DOM9	Toxoplasma gondii	Gabon	Gabon, Libreville	Chicken	unknown	14	2007	2007	unknown	GAB3-2007-GAL-DOM9	GAB3-2007-GAL-DOM9.paired
GAB5-2007-GAL-DOM1	Toxoplasma gondii GAB5-2007-GAL-DOM1 whole genome, Illumina reads submitted to SRA	SRX160069	GAB5-2007-GAL-DOM1	Toxoplasma gondii	Gabon	Gabon, Franceville	Chicken	unknown	6a	2007	2007	unknown	GAB5-2007-GAL-DOM1	GAB5-2007-GAL-DOM1.paired
GAB5-2007-GAL-DOM6	Toxoplasma gondii GAB5-2007-GAL-DOM6 whole genome, Illumina reads submitted to SRA	SRX159842	GAB5-2007-GAL-DOM6	Toxoplasma gondii	Gabon	Gabon, Franceville	Chicken	unknown	14	2007	2007	unknown	GAB5-2007-GAL-DOM6	GAB5-2007-GAL-DOM6.paired
GUY-2003-MEL	Toxoplasma gondii GUY-2003-MEL whole genome, Illumina reads submitted to SRA	SRX160131	GUY-2003-MEL	Toxoplasma gondii	French Guyana	French Guyana	Human	unknown	5	2004	2004	unknown	GUY-2003-MEL	GUY-2003-MEL.paired
GUY-2004-JAG1	Toxoplasma gondii GUY-2004-JAG1 whole genome, Illumina reads submitted to SRA	SRX099776	GUY-2004-JAG1	Toxoplasma gondii	French Guyana	French Guyana	Jaguar	unknown	11	2004	2004	unknown	GUY-2004-JAG1	GUY-2004-JAG1.paired
GUY-2004-ABE	Toxoplasma gondii wGUY-2004-ABE hole genome, Illumina reads submitted to SRA	SRX160132	GUY-2004-ABE	Toxoplasma gondii	French Guyana	French Guyana	Human	unknown	5	2004	2004	unknown	GUY-2004-ABE	GUY-2004-ABE.paired
M7741	Toxoplasma gondii M7741 whole genome, Illumina reads submitted to SRA	SRX159890	M7741	Toxoplasma gondii	USA	USA	Sheep	unknown	3	1958	1958	50859	M7741	M7741.paired
PRU	Toxoplasma gondii PRU whole genome,Human(congenital), Illumina reads submitted to SRA	SRX099792	PRU	Toxoplasma gondii	France	France	Human	unknown	2	1964	1964	unknown	PRU	PRU.paired
RAY	Toxoplasma gondii RAY whole genome,,Human(congenital), Illumina reads submitted to SRA	SRX099793	RAY	Toxoplasma gondii	Unknown	unknown	Human	unknown	12	1993	1993	unknown	RAY	RAY.paired
RH-88	Toxoplasma gondii RH-88 whole genome,Human(adolescent), Illumina reads submitted to SRA	SRX160127	RH-88	Toxoplasma gondii	USA	USA, OH	Human	unknown	1	1939	1939	unknown	RH-88	RH-88.paired
RH-JSR	Toxoplasma gondii RH-JSR whole genome,Human(adolescent), Illumina reads submitted to SRA	SRX159851	RH-JSR	Toxoplasma gondii	USA	USA, OH	Human	unknown	1	1939	1939	unknown	RH-JSR	RH-JSR.paired
ROD	Toxoplasma gondii ROD whole genome,Human(transplant), Illumina reads submitted to SRA	SRX160129	ROD	Toxoplasma gondii	USA	USA, CA	Human	unknown	3	1993	1993	50877	ROD	ROD.paired
SOU	Toxoplasma gondii SOU whole genome,Human(AIDS), Illumina reads submitted to SRA	SRX160119	SOU	Toxoplasma gondii	USA	USA	Human	unknown	3	1985	1985	unknown	SOU	SOU.paired
TgCatBr1	Toxoplasma gondii TgCatBr1 whole genome, Illumina reads submitted to SRA	SRX099790	TgCatBr1	Toxoplasma gondii	Brazil	Brazil	Cat	unknown	4	2006	2006	unknown	TgCatBr1	TgCatBr1.paired
TgCatBr10	Toxoplasma gondii TgCatBr10 whole genome, Illumina reads submitted to SRA	SRX099791	TgCatBr10	Toxoplasma gondii	Brazil	Brazil	Cat	unknown	9	2006	2006	unknown	TgCatBr10	TgCatBr10.paired
TgCatBr15	Toxoplasma gondii TgCatBr15 whole genome, Illumina reads submitted to SRA	SRX099779	TgCatBr15	Toxoplasma gondii	USA	USA	Pig	unknown	9	2006	2006	unknown	TgCatBr15	TgCatBr15.paired
TgCatBr18	Toxoplasma gondii TgCatBr18 whole genome, Illumina reads submitted to SRA	SRX099794	TgCatBr18	Toxoplasma gondii	Brazil	Brazil	Cat	unknown	4	2006	2006	unknown	TgCatBr18	TgCatBr18.paired
TgCatBr25	Toxoplasma gondii TgCatBr25 whole genome, Illumina reads submitted to SRA	SRX160134	TgCatBr25	Toxoplasma gondii	Brazil	Brazil	Cat	unknown	8	2006	2006	unknown	TgCatBr25	TgCatBr25.paired
TgCatBr26	Toxoplasma gondii TgCatBr26 whole genome, Illumina reads submitted to SRA	SRX099780	TgCatBr26	Toxoplasma gondii	Brazil	Brazil	Cat	unknown	6b	2006	2006	unknown	TgCatBr26	TgCatBr26.paired
TgCatBr3	Toxoplasma gondii TgCatBr3 whole genome, Illumina reads submitted to SRA	SRX160142	TgCatBr3	Toxoplasma gondii	unknown	unknown	unknown	unknown	9	2003	2003	unknown	TgCatBr3	TgCatBr3.paired
TgCatBr34	Toxoplasma gondii TgCatBr34 whole genome, Illumina reads submitted to SRA	SRX160051	TgCatBr34	Toxoplasma gondii	Brazil	Brazil	Cat	unknown	4	2006	2006	unknown	TgCatBr34	TgCatBr34.paired
TgCatBr44	Toxoplasma gondii TgCatBr44 whole genome, Illumina reads submitted to SRA	SRX160141	TgCatBr44	Toxoplasma gondii	Brazil	Brazil	Cat	unknown	10	2008	2008	unknown	TgCatBr44	TgCatBr44.paired
TgCatBr64	Toxoplasma gondii TgCatBr64 whole genome, Illumina reads submitted to SRA	SRX160743	TgCatBr64	Toxoplasma gondii	Brazil	Brazil, Sao Paulo	Chicken	unknown	8	2006	2006	unknown	TgCatBr64	TgCatBr64.paired
TgCatBr72	Toxoplasma gondii TgCatBr72 whole genome, Illumina reads submitted to SRA	SRX160049	TgCatBr72	Toxoplasma gondii	Brazil	Brazil, Sao Paulo	Chicken	unknown	6b	2003	2003	unknown	TgCatBr72	TgCatBr72.paired
TgCatPRC3	Toxoplasma gondii TgCatPRC3 whole genome, Illumina reads submitted to SRA	SRX099797	TgCatPRC3	Toxoplasma gondii	China	China	Cat	unknown	3	1985	1985	unknown	TgCatPRC3	TgCatPRC3.paired
TgCkBr141	Toxoplasma gondii TgCkBr141 whole genome, Illumina reads submitted to SRA	SRX160124	TgCkBr141	Toxoplasma gondii	Brazil	Brazil, Para	Chicken	unknown	7	2006	2006	unknown	TgCkBr141	TgCkBr141.paired
TgCkCr1	Toxoplasma gondii TgCkCr1 whole genome, Illumina reads submitted to SRA	SRX160807	TgCkCr1	Toxoplasma gondii	Costa Rica	Costa Rica	Chicken	unknown	1	2005	2005	unknown	TgCkCr1	TgCkCr1.paired
TgCkCr10	Toxoplasma gondii TgCkCr10 whole genome, Illumina reads submitted to SRA	SRX099784	TgCkCr10	Toxoplasma gondii	Costa Rica	Costa Rica	Chicken	unknown	10	2006	2006	unknown	TgCkCr10	TgCkCr10.paired
TgCkGy2	Toxoplasma gondii TgCkGy2 whole genome, Illumina reads submitted to SRA	SRX099785	TgCkGy2	Toxoplasma gondii	Guyana	Guyana	Chicken	unknown	3	2007	2007	unknown	TgCkGy2	TgCkGy2.paired
TgDogCo17	Toxoplasma gondii TgDogCo17 whole genome, Illumina reads submitted to SRA	SRX099787	TgDogCo17	Toxoplasma gondii	Columbia	Columbia	Dog	unknown	1	2006	2006	unknown	TgDogCo17	TgDogCo17.paired
TgH26044	Toxoplasma gondii TgH26044 whole genome, Illumina reads submitted to SRA	SRX160050	TgH26044	Toxoplasma gondii	unknown	unknown	unknown	unknown	4	2007	2007	unknown	TgH26044	TgH26044.paired
TgRsCr1	Toxoplasma gondii TgRsCr1 whole genome, Illumina reads submitted to SRA	SRX160143	TgRsCr1	Toxoplasma gondii	Costa Rica	Costa Rica	Toucan	unknown	5	2006	2006	unknown	TgRsCr1	TgRsCr1.paired
TgShUS28	Toxoplasma gondii TgShUS28 whole genome, Illumina reads submitted to SRA	SRX160130	TgShUS28	Toxoplasma gondii	USA	USA	Sheep	unknown	3	2008	2008	unknown	TgShUS28	TgShUS28.paired
