Extract Name	Protocol REF	Protocol REF	Assay Name	Protocol REF	Data Transformation Name
Extract Malawi CF04.008 1F	labeling	nucleic acid hybridization	Malawi CF04.008 1F SNP Chip Assay	sequence analysis data transformation	Malawi CF04.008 1F (Sequence Variations)
Extract Malawi CF04.008 2G	labeling	nucleic acid hybridization	Malawi CF04.008 2G SNP Chip Assay	sequence analysis data transformation	Malawi CF04.008 2G (Sequence Variations)
Extract Malawi CF04.008 7H	labeling	nucleic acid hybridization	Malawi CF04.008 7H SNP Chip Assay	sequence analysis data transformation	Malawi CF04.008 7H (Sequence Variations)
Extract Malawi CF04.009	labeling	nucleic acid hybridization	Malawi CF04.009 SNP Chip Assay	sequence analysis data transformation	Malawi CF04.009 (Sequence Variations)
Extract Malawi CF04.009 1G	labeling	nucleic acid hybridization	Malawi CF04.009 1G SNP Chip Assay	sequence analysis data transformation	Malawi CF04.009 1G (Sequence Variations)
Extract Malawi CF04.009 6D	labeling	nucleic acid hybridization	Malawi CF04.009 6D SNP Chip Assay	sequence analysis data transformation	Malawi CF04.009 6D (Sequence Variations)
Extract Malawi CF04.010 10B	labeling	nucleic acid hybridization	Malawi CF04.010 10B SNP Chip Assay	sequence analysis data transformation	Malawi CF04.010 10B (Sequence Variations)
Extract Mali PS189	labeling	nucleic acid hybridization	Mali PS189 SNP Chip Assay	sequence analysis data transformation	Mali PS189 (Sequence Variations)
Extract Muz51.1	labeling	nucleic acid hybridization	Muz51.1 SNP Chip Assay	sequence analysis data transformation	Muz51.1 (Sequence Variations)
Extract PR145	labeling	nucleic acid hybridization	PR145 SNP Chip Assay	sequence analysis data transformation	PR145 (Sequence Variations)
Extract RAJ116	labeling	nucleic acid hybridization	RAJ116 SNP Chip Assay	sequence analysis data transformation	RAJ116 (Sequence Variations)
Extract RS1	labeling	nucleic acid hybridization	RS1 SNP Chip Assay	sequence analysis data transformation	RS1 (Sequence Variations)
Extract SA2	labeling	nucleic acid hybridization	SA2 SNP Chip Assay	sequence analysis data transformation	SA2 (Sequence Variations)
Extract Senegal P05.02	labeling	nucleic acid hybridization	Senegal P05.02 SNP Chip Assay	sequence analysis data transformation	Senegal P05.02 (Sequence Variations)
Extract Senegal P08.04	labeling	nucleic acid hybridization	Senegal P08.04 SNP Chip Assay	sequence analysis data transformation	Senegal P08.04 (Sequence Variations)
Extract Senegal P09.04	labeling	nucleic acid hybridization	Senegal P09.04 SNP Chip Assay	sequence analysis data transformation	Senegal P09.04 (Sequence Variations)
Extract Senegal P11.02	labeling	nucleic acid hybridization	Senegal P11.02 SNP Chip Assay	sequence analysis data transformation	Senegal P11.02 (Sequence Variations)
Extract Senegal P137.05	labeling	nucleic acid hybridization	Senegal P137.05 SNP Chip Assay	sequence analysis data transformation	Senegal P137.05 (Sequence Variations)
Extract Senegal P19.04	labeling	nucleic acid hybridization	Senegal P19.04 SNP Chip Assay	sequence analysis data transformation	Senegal P19.04 (Sequence Variations)
Extract Senegal P26.04	labeling	nucleic acid hybridization	Senegal P26.04 SNP Chip Assay	sequence analysis data transformation	Senegal P26.04 (Sequence Variations)
Extract Senegal P27.02	labeling	nucleic acid hybridization	Senegal P27.02 SNP Chip Assay	sequence analysis data transformation	Senegal P27.02 (Sequence Variations)
Extract Senegal P35.04	labeling	nucleic acid hybridization	Senegal P35.04 SNP Chip Assay	sequence analysis data transformation	Senegal P35.04 (Sequence Variations)
Extract Senegal P60.02	labeling	nucleic acid hybridization	Senegal P60.02 SNP Chip Assay	sequence analysis data transformation	Senegal P60.02 (Sequence Variations)
Extract Senegal P90.05	labeling	nucleic acid hybridization	Senegal P90.05 SNP Chip Assay	sequence analysis data transformation	Senegal P90.05 (Sequence Variations)
Extract Senegal Thi15.04	labeling	nucleic acid hybridization	Senegal Thi15.04 SNP Chip Assay	sequence analysis data transformation	Senegal Thi15.04 (Sequence Variations)
Extract Senegal Thi26.04	labeling	nucleic acid hybridization	Senegal Thi26.04 SNP Chip Assay	sequence analysis data transformation	Senegal Thi26.04 (Sequence Variations)
Extract Senegal Thi28.04	labeling	nucleic acid hybridization	Senegal Thi28.04 SNP Chip Assay	sequence analysis data transformation	Senegal Thi28.04 (Sequence Variations)
Extract Senegal V42.05	labeling	nucleic acid hybridization	Senegal V42.05 SNP Chip Assay	sequence analysis data transformation	Senegal V42.05 (Sequence Variations)
Extract T2/C6	labeling	nucleic acid hybridization	T2/C6 SNP Chip Assay	sequence analysis data transformation	T2/C6 (Sequence Variations)
Extract TD203	labeling	nucleic acid hybridization	TD203 SNP Chip Assay	sequence analysis data transformation	TD203 (Sequence Variations)
Extract TD257	labeling	nucleic acid hybridization	TD257 SNP Chip Assay	sequence analysis data transformation	TD257 (Sequence Variations)
Extract TM327	labeling	nucleic acid hybridization	TM327 SNP Chip Assay	sequence analysis data transformation	TM327 (Sequence Variations)
Extract TM345	labeling	nucleic acid hybridization	TM345 SNP Chip Assay	sequence analysis data transformation	TM345 (Sequence Variations)
Extract TM90C2A	labeling	nucleic acid hybridization	TM90C2A SNP Chip Assay	sequence analysis data transformation	TM90C2A (Sequence Variations)
Extract TM90C6B	labeling	nucleic acid hybridization	TM90C6B SNP Chip Assay	sequence analysis data transformation	TM90C6B (Sequence Variations)
Extract TM91C235	labeling	nucleic acid hybridization	TM91C235 SNP Chip Assay	sequence analysis data transformation	TM91C235 (Sequence Variations)
Extract JST	labeling	nucleic acid hybridization	JST SNP Chip Assay	sequence analysis data transformation	JST (Sequence Variations)
Extract 106/1	labeling	nucleic acid hybridization	106/1 SNP Chip Assay	sequence analysis data transformation	106/1 (Sequence Variations)
Extract FCB	labeling	nucleic acid hybridization	FCB SNP Chip Assay	sequence analysis data transformation	FCB (Sequence Variations)
Extract FCR3	labeling	nucleic acid hybridization	FCR3 SNP Chip Assay	sequence analysis data transformation	FCR3 (Sequence Variations)
Extract ITG-2G2	labeling	nucleic acid hybridization	ITG-2G2 SNP Chip Assay	sequence analysis data transformation	ITG-2G2 (Sequence Variations)
Extract T9-94	labeling	nucleic acid hybridization	T9-94 SNP Chip Assay	sequence analysis data transformation	T9-94 (Sequence Variations)
Extract W2	labeling	nucleic acid hybridization	W2 SNP Chip Assay	sequence analysis data transformation	W2 (Sequence Variations)
Extract W2mef	labeling	nucleic acid hybridization	W2mef SNP Chip Assay	sequence analysis data transformation	W2mef (Sequence Variations)
Extract TM90C6A	labeling	nucleic acid hybridization	TM90C6A SNP Chip Assay	sequence analysis data transformation	TM90C6A (Sequence Variations)
Extract TM91C1088	labeling	nucleic acid hybridization	TM91C1088 SNP Chip Assay	sequence analysis data transformation	TM91C1088 (Sequence Variations)
Extract ADA-2	labeling	nucleic acid hybridization	ADA-2 SNP Chip Assay	sequence analysis data transformation	ADA-2 (Sequence Variations)
Extract MT/s1	labeling	nucleic acid hybridization	MT/s1 SNP Chip Assay	sequence analysis data transformation	MT/s1 (Sequence Variations)
Extract WR87	labeling	nucleic acid hybridization	WR87 SNP Chip Assay	sequence analysis data transformation	WR87 (Sequence Variations)
Extract 330_89	labeling	nucleic acid hybridization	330_89 SNP Chip Assay	sequence analysis data transformation	330_89 (Sequence Variations)
Extract 608_88	labeling	nucleic acid hybridization	608_88 SNP Chip Assay	sequence analysis data transformation	608_88 (Sequence Variations)
Extract APO-42	labeling	nucleic acid hybridization	APO-42 SNP Chip Assay	sequence analysis data transformation	APO-42 (Sequence Variations)
Extract CH3	labeling	nucleic acid hybridization	CH3 SNP Chip Assay	sequence analysis data transformation	CH3 (Sequence Variations)
Extract CH4	labeling	nucleic acid hybridization	CH4 SNP Chip Assay	sequence analysis data transformation	CH4 (Sequence Variations)
Extract FCR8	labeling	nucleic acid hybridization	FCR8 SNP Chip Assay	sequence analysis data transformation	FCR8 (Sequence Variations)
Extract Malawi 2257/10H	labeling	nucleic acid hybridization	Malawi 2257/10H SNP Chip Assay	sequence analysis data transformation	Malawi 2257/10H (Sequence Variations)
Extract Malawi CF04.008	labeling	nucleic acid hybridization	Malawi CF04.008 SNP Chip Assay	sequence analysis data transformation	Malawi CF04.008 (Sequence Variations)
Extract Mali PS149	labeling	nucleic acid hybridization	Mali PS149 SNP Chip Assay	sequence analysis data transformation	Mali PS149 (Sequence Variations)
Extract Mali PS186	labeling	nucleic acid hybridization	Mali PS186 SNP Chip Assay	sequence analysis data transformation	Mali PS186 (Sequence Variations)
Extract Mali PS206	labeling	nucleic acid hybridization	Mali PS206 SNP Chip Assay	sequence analysis data transformation	Mali PS206 (Sequence Variations)
Extract Senegal P06.02	labeling	nucleic acid hybridization	Senegal P06.02 SNP Chip Assay	sequence analysis data transformation	Senegal P06.02 (Sequence Variations)
Extract Senegal P121.05	labeling	nucleic acid hybridization	Senegal P121.05 SNP Chip Assay	sequence analysis data transformation	Senegal P121.05 (Sequence Variations)
Extract Senegal P136.05	labeling	nucleic acid hybridization	Senegal P136.05 SNP Chip Assay	sequence analysis data transformation	Senegal P136.05 (Sequence Variations)
Extract Senegal P139.05	labeling	nucleic acid hybridization	Senegal P139.05 SNP Chip Assay	sequence analysis data transformation	Senegal P139.05 (Sequence Variations)
Extract Senegal P18.02	labeling	nucleic acid hybridization	Senegal P18.02 SNP Chip Assay	sequence analysis data transformation	Senegal P18.02 (Sequence Variations)
Extract Senegal P21.05	labeling	nucleic acid hybridization	Senegal P21.05 SNP Chip Assay	sequence analysis data transformation	Senegal P21.05 (Sequence Variations)
Extract Senegal P47.05	labeling	nucleic acid hybridization	Senegal P47.05 SNP Chip Assay	sequence analysis data transformation	Senegal P47.05 (Sequence Variations)
Extract Senegal P69.05	labeling	nucleic acid hybridization	Senegal P69.05 SNP Chip Assay	sequence analysis data transformation	Senegal P69.05 (Sequence Variations)
Extract Senegal P75.05	labeling	nucleic acid hybridization	Senegal P75.05 SNP Chip Assay	sequence analysis data transformation	Senegal P75.05 (Sequence Variations)
Extract Senegal Thi10.04	labeling	nucleic acid hybridization	Senegal Thi10.04 SNP Chip Assay	sequence analysis data transformation	Senegal Thi10.04 (Sequence Variations)
Extract Senegal V127.05	labeling	nucleic acid hybridization	Senegal V127.05 SNP Chip Assay	sequence analysis data transformation	Senegal V127.05 (Sequence Variations)
Extract Senegal V56.04	labeling	nucleic acid hybridization	Senegal V56.04 SNP Chip Assay	sequence analysis data transformation	Senegal V56.04 (Sequence Variations)
Extract Senegal V64.05	labeling	nucleic acid hybridization	Senegal V64.05 SNP Chip Assay	sequence analysis data transformation	Senegal V64.05 (Sequence Variations)
Extract Senegal V83.05	labeling	nucleic acid hybridization	Senegal V83.05 SNP Chip Assay	sequence analysis data transformation	Senegal V83.05 (Sequence Variations)
Extract T116	labeling	nucleic acid hybridization	T116 SNP Chip Assay	sequence analysis data transformation	T116 (Sequence Variations)
Extract TD194	labeling	nucleic acid hybridization	TD194 SNP Chip Assay	sequence analysis data transformation	TD194 (Sequence Variations)
Extract TM335	labeling	nucleic acid hybridization	TM335 SNP Chip Assay	sequence analysis data transformation	TM335 (Sequence Variations)
Extract TM336	labeling	nucleic acid hybridization	TM336 SNP Chip Assay	sequence analysis data transformation	TM336 (Sequence Variations)
Extract TM343	labeling	nucleic acid hybridization	TM343 SNP Chip Assay	sequence analysis data transformation	TM343 (Sequence Variations)
Extract TM346	labeling	nucleic acid hybridization	TM346 SNP Chip Assay	sequence analysis data transformation	TM346 (Sequence Variations)
Extract TM347	labeling	nucleic acid hybridization	TM347 SNP Chip Assay	sequence analysis data transformation	TM347 (Sequence Variations)
Extract TM4-C8-2	labeling	nucleic acid hybridization	TM4-C8-2 SNP Chip Assay	sequence analysis data transformation	TM4-C8-2 (Sequence Variations)
