Source Name	Comment[description]	Comment[source_id]	Characteristics[strain]	Characteristics[organism]	Characteristics[geographic location]	Characteristics[country]	Characteristics[host organism]	Characteristics[year]	Parameter Value[collection date]	Characteristics[environmental feature]	Characteristics[squid project]	Sample Name	Raw Data File	Raw Data File
PS189	Broad 100 genomes project on Illumina sequencing of Plasmodium falciparum PS189	SRX117961	PS189	Plasmodium falciparum PS189	Mali, Bandiagara	Mali	human	1999-2002	1999-2002	somatic DNA	G14327	SAMN00779266	PS189	PS189.paired
PS206_E11	Broad 100 genomes project on Illumina sequencing of Plasmodium falciparum PS206_E11	SRX117960	PS206_E11	Plasmodium falciparum PS206_E11	Mali, Bandiagara	Mali	human	1999-2002	1999-2002	somatic DNA	G14328	SAMN00779265	PS206_E11	PS206_E11.paired
PS250	Broad 100 genomes project on Illumina sequencing of Plasmodium falciparum PS250	SRX117969	PS250	Plasmodium falciparum PS250	Mali, Bandiagara	Mali	human	1999-2002	1999-2002	somatic DNA	G14329	SAMN00779274	PS250	PS250.paired
SantaLucia_SalvadorI	Broad 100 genomes project on Illumina sequencing of Plasmodium falciparum SantaLucia_SalvadorI	SRX208844,SRX113471,SRX110287	SantaLucia_SalvadorI	Plasmodium  falciparum  Santa Lucia (Salvador I)	El Salvador	El Salvador	human			somatic DNA	G14100	SAMN00761786	SantaLucia_SalvadorI	SantaLucia_SalvadorI.paired
SEV2_H5	Broad 100 genomes project on Illumina sequencing of Plasmodium falciparum SEV2_H5	SRX377576	SEV2_H5	Plasmodium falciparum SEV2_H5	Mozambique	Mozambique	human			somatic DNA	G38302	SAMN00998725	SEV2_H5	SEV2_H5.paired
UGK_396.1	Broad 100 genomes project on Illumina sequencing of Plasmodium falciparum UGK_396.1	SRX006181	UGK_396.1	Plasmodium falciparum UGK_396.1	Uganda, Kampala	Uganda	human	2010	2010	somatic DNA	G14308	SAMN00714544	UGK_396.1	UGK_396.1.paired
UGK_815.1	Broad 100 genomes project on Illumina sequencing of Plasmodium falciparum UGK_815.1	SRX006740	UGK_815.1	Plasmodium falciparum UGK_815.1	Uganda, Kampala	Uganda	human	2010	2010	somatic DNA	G14317	SAMN00714546	UGK_815.1	UGK_815.1.paired
UGK_443.2	Broad 100 genomes project on Illumina sequencing of Plasmodium falciparum UGK_443.2	SRX006665	UGK_443.2	Plasmodium falciparum UGK_443.2	Uganda, Kampala	Uganda	human	2010	2010	somatic DNA	G14309	SAMN00714547	UGK_443.2	UGK_443.2.paired
UGK_408.2	Broad 100 genomes project on Illumina sequencing of Plasmodium falciparum UGK_408.2	SRX006734	UGK_408.2	Plasmodium falciparum UGK_408.2	Uganda, Kampala	Uganda	human	2010	2010	somatic DNA	G14310	SAMN00714545	UGK_408.2	UGK_408.2.paired
UGK_432.4	Broad 100 genomes project on Illumina sequencing of Plasmodium falciparum UGK_432.4	SRX006178	UGK_432.4	Plasmodium falciparum UGK_432.4	Uganda, Kampala	Uganda	human	2010	2010	somatic DNA	G14311	SAMN00714539	UGK_432.4	UGK_432.4.paired
UGK_659.1	Broad 100 genomes project on Illumina sequencing of Plasmodium falciparum UGK_659.1	SRX006184	UGK_659.1	Plasmodium falciparum UGK_659.1	Uganda, Kampala	Uganda	human	2010	2010	somatic DNA	G14312	SAMN00714538	UGK_659.1	UGK_659.1.paired
UGK_661.1	Broad 100 genomes project on Illumina sequencing of Plasmodium falciparum UGK_661.1	SRX007633	UGK_661.1	Plasmodium falciparum UGK_661.1	Uganda, Kampala	Uganda	human	2010	2010	somatic DNA	G14313	SAMN00714541	UGK_661.1	UGK_661.1.paired
UGK_674.4	Broad 100 genomes project on Illumina sequencing of Plasmodium falciparum UGK_674.4	SRX007630	UGK_674.4	Plasmodium falciparum UGK_674.4	Uganda, Kampala	Uganda	human	2010	2010	somatic DNA	G14314	SAMN00714540	UGK_674.4	UGK_674.4.paired
UGK_707.3	Broad 100 genomes project on Illumina sequencing of Plasmodium falciparum UGK_707.3	SRX006745	UGK_707.3	Plasmodium falciparum UGK_707.3	Uganda, Kampala	Uganda	human	2010	2010	somatic DNA	G14315	SAMN00714543	UGK_707.3	UGK_707.3.paired
UGK_730.2	Broad 100 genomes project on Illumina sequencing of Plasmodium falciparum UGK_730.2	SRX006735	UGK_730.2	Plasmodium falciparum UGK_730.2	Uganda, Kampala	Uganda	human	2010	2010	somatic DNA	G14316	SAMN00714542	UGK_730.2	UGK_730.2.paired
17X_resequence1	Broad 100 genomes project on Illumina sequencing of Plasmodium yoelii 17X_resequence1	SRX271788,SRX176489,SRX160068,SRX158279	17X_resequence1	Plasmodium yoelii 17X	Lowlands West and Central Africa		Rodents			somatic DNA	G15662	SAMN00974094	17X_resequence1	17X_resequence1.paired
